curve,band,N,mean_ctl_tenors,var3,X,t
FRED par (8 tenors),0.5,0,2.7142857142857144,0.9826347689285952,,
FRED par (8 tenors),1.0,0,1.8571428571428572,0.9826347689285952,,
FRED par (8 tenors),2.0,0,0.8571428571428571,0.9826347689285952,,
