spec,N,X_pca,t_pca,X_abn,t_abn
"BASE: >=$10B, macro+/-1, window(-1,+1), band 2y",7,0.07665292552554985,1.7157132114086666,0.8244884416376521,0.929601733899757
jumbo >= $5B,10,0.0489534785771755,1.1910259884273668,0.5715883319360312,0.5088948386336749
jumbo >= $7.5B,8,0.06438799711859912,1.611030676016426,0.7661079817465927,0.7941989658354413
jumbo >= $15B,6,0.07677224036466077,1.5205490138655235,-0.11993864949814552,-0.1763077888046491
jumbo >= $20B,3,0.16572420233338486,1.9581489077957062,0.028182882091238017,0.019383811027570322
macro +/-0 bdays,11,-0.31504489166528354,-1.2357856814841224,2.206049865135469,3.2688284257339864
macro +/-2 bdays,6,0.07241680758125131,1.4554215139707702,1.5946447418977665,1.8013617263153583
macro +/-3 bdays,1,,,,
"window (-1, 0)",7,0.06147967184426838,0.9587749922273647,1.6430142086841644,1.8741268132957414
"window (0, 1)",7,0.015173253681277253,0.4765618706928465,-0.7264203132392718,-2.033342987948191
"window (-2, 2)",7,0.04825573575473887,0.49700204284878924,2.284881605238081,2.011880521042408
"window (-1, 2)",7,0.07776163013852518,1.4189443469642624,1.7182076420480143,2.2581702980851177
"window (-5, 5)",7,0.19091241742625217,1.847630250472339,4.319923170185419,1.9601448139235245
exclusion band 1y,7,-0.03804345765800102,-0.8860602240250425,0.8244884416376521,0.929601733899757
exclusion band 3y,7,0.12345974198130477,3.1635557000609618,0.8244884416376521,0.929601733899757
exclusion band 4y,7,-0.16685825291468798,-2.2011424418714984,0.8244884416376521,0.929601733899757
