K,logL,BIC,min_dwell,max_share
2,2237.6734396596135,-4332.088482067043,2.6334445800052597,0.8132357715281624
3,2283.4502985038475,-4332.477765140485,2.1049315315631953,0.7401545438708651
4,2352.1499717478496,-4365.689186354173,2.251335150475454,0.5626560865867978
