date,f1,f2,f3
2024-01-03,-0.16916630457722964,0.016934985919735496,-0.010100015469603362
2024-01-04,0.427946984488874,-0.040451084048919554,-0.01586218549130468
2024-01-05,0.3190895856442142,-0.08268126527808455,0.006373373801951645
2024-01-08,-0.21531710663380638,-0.021390380551827487,-0.005196586811738352
2024-01-09,0.009830825923737302,0.00027310033389811063,0.019346617371968165
2024-01-10,0.1107080272360445,-0.041248930433906976,-0.002603320733458136
2024-01-11,-0.20875143292880072,-0.15564967978738242,0.025056883131877383
2024-01-12,-0.09841549539617202,-0.22239455317149195,0.00803900025035288
2024-01-16,0.5856138360215128,-0.016866604093835332,-0.022328082472419325
2024-01-17,0.10666884327440958,0.19484910089814075,0.015349239823686075
2024-01-18,0.2540769154269757,-0.1096760311908847,-0.001031951832113975
2024-01-19,-0.0016986596684956882,0.1195444570336155,-0.018023617374475935
2024-01-22,-0.22991282510534344,-0.004226305323598955,0.00024467699554581244
2024-01-23,0.2291291765016453,-0.08456250411349213,0.00808329654017518
2024-01-24,0.1888006169875664,0.004156836513439032,-0.01780863745137944
2024-01-25,-0.22398119888994028,-0.05886169277673667,0.0035279090068490847
2024-01-26,0.04512142576520697,0.07028922517236162,0.003229065089584215
2024-01-29,-0.43085558408126345,0.008915296015466184,0.006403267074985941
2024-01-30,-0.0863230445827353,0.14635346511352723,0.011245755007806842
2024-01-31,-0.3699602838869692,-0.0845122715522481,0.013967842142386354
2024-02-01,-0.6417938085632015,0.030451105235275357,0.04277647461874566
2024-02-02,0.7458208288416426,0.1965578302423506,-0.024908820193716905
2024-02-05,0.6809163543697008,-0.013473984584986748,0.0036340105802323617
2024-02-06,-0.3807773658015626,-0.05084106978499907,0.006365099075774239
2024-02-07,0.08671723864703537,-0.002755131494659827,-0.0016579721218162452
2024-02-08,0.31900469264786974,0.008241023794046022,-0.0101396621557838
2024-02-09,0.04470582598032487,0.03464771498835979,0.009115792125284036
2024-02-12,-0.027163642655927366,-0.018067028963022272,-0.01184899268639654
2024-02-13,0.6414703421340773,0.19601759679162345,-0.005617030512794188
2024-02-14,-0.1613470463887502,-0.10957223603676028,0.012013438440791674
2024-02-15,-0.17331744785465303,0.03061994831170989,-0.02569306183468831
2024-02-16,0.2223789708419782,0.10157122123481652,-0.030072360834534444
2024-02-20,-0.08224605187478243,-0.08810531709136862,0.004298735134743031
2024-02-21,0.24449186053695948,0.004429139470582204,0.006006600086337844
2024-02-22,-0.04132110294173128,0.13267707646296276,0.0016839941408159627
2024-02-23,-0.4300877308359727,0.12877329515717495,-0.05834370280467402
2024-02-26,0.11737753667402222,0.007838817872816477,0.021710171106338855
2024-02-27,0.17206308535651052,-0.057382514788927655,-0.014343785624390077
2024-02-28,-0.22443351087230567,-0.026256204664012073,0.02012391469968792
2024-02-29,-0.13858086354823998,0.047349220689229525,0.0009601526077616873
2024-03-01,-0.3265155016895244,-0.10833369438110836,0.009191430000405275
2024-03-04,0.16045224642475253,0.0721774233325938,-0.020438242960504303
2024-03-05,-0.47568102733550144,0.02831472320810338,0.03178673867692201
2024-03-06,-0.16877263752597427,0.06101385966256783,0.014900972325407075
2024-03-07,-0.06745805842393224,-0.10490306828964466,0.016430093611695392
2024-03-08,0.01825901134502877,-0.06026895752219668,-0.020067000916804145
2024-03-11,0.008670554905927778,0.061649053881044746,0.019646080805694514
2024-03-12,0.3147841510068574,0.04009513545845502,-0.0035429105944313065
2024-03-13,0.1511009772179202,-0.000530663375615409,-0.0011911107751625283
2024-03-14,0.5179261070758426,-0.006453101528486825,-0.0008515457778990596
2024-03-15,0.02836901913350625,0.08494969603796641,-0.026086749407154736
2024-03-18,0.13347400673313542,-0.012397086588707388,0.01593647908832999
2024-03-19,-0.18054020903466572,-0.047722638803605666,0.04035094678541111
2024-03-20,-0.07599807954156906,-0.1523731244051653,0.0328606512621648
2024-03-21,-0.012705405983723828,0.03619293611233329,-0.010956249421404997
