date,dTP10,dRN10,dY10,S,dS,D,dD,p0_filt,p1_filt,p2_filt,p0_smooth,p1_smooth,p2_smooth,dbe,dvix,doil,auc_amt,auc_10y,auc_surprise,auc_btc,auc_dealer,auc_tail,auc_ten10,is_auction,weak_supply
2024-01-03,-2.382632166082521,-0.8496691452395844,-3.232301311322061,-1.7966939423841166,0.0419957301605458,0.0,0.0,2.4298615365926876e-28,1.0,5.947883226883877e-22,4.970724080817007e-29,1.0,4.057028596463108e-22,-0.9999999999999787,0.8399999999999999,3.273500727728873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.0
2024-01-04,7.282973877297838,0.9304366459946145,8.213410523292408,-1.7556573960260644,0.0410365463580522,0.0,0.0,0.0075284255891608,0.9409374721467942,0.0515341022640447,0.0015001803696367,0.968676505008214,0.0298233146221587,2.0000000000000018,0.09000000000000163,-0.8118379641932627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.0
2024-01-05,6.350777833846083,-0.20590647856977284,6.144871355276305,-1.71555812568218,0.0400992703438845,0.0,0.0,0.0090905708632102,0.9432631248987196,0.0476463042380701,0.0016904279035298,0.9756536666143742,0.0226559054821179,0.0,-0.7800000000000011,2.213507506857404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.0
2024-01-08,-1.9688225440379599,-2.111940690704639,-4.0807632347426015,-1.600672330160522,0.114885795521658,0.0,0.0,0.0060690842552894,0.9840171906825452,0.0099137250621653,0.0011354301779658,0.9935434885160797,0.0053210813061533,0.0,-0.2699999999999996,-4.05405026112895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.0
2024-01-09,-0.9820483281496123,0.9857163546713288,0.00366802652171927,-1.5641129236132263,0.0365594065472953,0.0,0.0,0.0078526888256924,0.9791803134607056,0.0129669977136018,0.0011693927498302,0.985610143060478,0.0132204641897465,0.0,-0.3200000000000003,1.9095987614353938,52.0,18.093084300386813,7.0,-0.02666666666666684,0.007168630195675957,3.6799999999999944,18.093084300386813,1,0.48248224801031814
2024-01-10,2.7374656624991722,-0.6668289182869103,2.070636744212262,-1.5283885350654969,0.0357243885477296,0.0,0.0,0.004624214525528,0.9850192895829952,0.0103564958914769,0.0001963895119022,0.923199448896674,0.0766041615916122,0.0,-0.07000000000000028,-1.1944586456728246,37.0,37.0,9.666666666666668,0.04499999999999993,0.011690901380940172,3.7366666666666326,37.0,1,-1.6649999999999974
2024-01-11,-0.9845919411320708,-4.101893599564477,-5.08648554069655,-1.4934800926798644,0.0349084423856325,0.0,0.0,0.0553818785508994,0.4764249916590511,0.4681931297900495,0.0004651219659324,0.1067279031393956,0.8928069748945637,0.0,-0.25,0.8071293469373408,21.0,43.08070666297091,2.0,-0.018333333333333535,-0.008714954904057881,-13.823333333333343,43.08070666297091,1,0.7898129554878087
2024-01-12,3.1007686246258688,-5.797853545972753,-2.6970849213468817,-1.4593689602202309,0.0341111324596334,0.0,0.0,0.0121202094863335,0.0296822522885098,0.9581975382251569,0.000460709664239,0.0063546702196434,0.9931846201160588,4.999999999999982,0.2599999999999998,1.0889900160654165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.0
2024-01-16,10.013838036322031,1.9593210519875726,11.973159088309604,-1.330539500136606,0.031099886573636,0.0,0.0,0.0296898309534395,0.1452585491838225,0.8250516198627379,0.002249554914871,0.044677425116001,0.9530730199689944,2.9999999999999805,1.1400000000000006,-0.4259125762457572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.0
2024-01-17,-3.3661703095847706,6.28789002348098,2.921719713896209,-1.3001499359540034,0.0303895641826026,0.0,0.0,0.0158732631337474,0.0628013765028462,0.9213253603634064,0.0052613093235016,0.0928777588651822,0.9018609318113868,0.0,0.9499999999999993,0.22005235120898803,13.0,21.330614131782042,0.5,-0.08666666666666689,0.06776033099142569,-3.966666666666689,21.330614131782042,1,1.8486532247544485
