issuer,announce,end,total_usd,dollar_dur,tenyr_equiv,abn_bp,dy10,d2y,dbe
Meta,2024-08-07,2024-08-08,10500000000.0,122131107896.4934,15301091007.65233,8.921678122468942,11.519999999999975,4.999999999999982,0.0
Oracle,2025-09-24,2025-09-25,18000000000.0,169564272489.9839,21243714314.08341,-3.2785832785336138,4.9600000000000755,11.000000000000032,0.9999999999999787
Alphabet,2025-11-03,2025-11-04,17000000000.0,177634453727.51913,22254780042.467915,1.3265812648140562,-1.0699999999999932,-2.0000000000000018,-0.9999999999999787
Amazon,2025-11-17,2025-11-18,15000000000.0,132072705710.5604,16546615555.283852,1.3194387240164438,-2.430000000000021,-4.0000000000000036,-0.9999999999999787
Oracle,2026-02-02,2026-02-03,25000000000.0,205436934958.7781,25737990036.096848,-0.22931539203364648,2.9799999999999827,4.999999999999982,0.0
Alphabet,2026-02-09,2026-02-10,20000000000.0,174655072800.53873,21881510860.722458,-3.403487686086641,-6.440000000000001,-4.999999999999982,-2.0000000000000018
Amazon,2026-07-07,2026-07-08,25000000000.0,200121256132.74548,25072019777.69628,3.5422522074489513,9.590000000000032,8.000000000000007,0.9999999999999787
