date,p0_filt,p1_filt,p2_filt,p0_smooth,p1_smooth,p2_smooth
2024-01-03,2.4298615365926876e-28,1.0,5.947883226883877e-22,4.9707240808170064e-29,1.0,4.057028596463108e-22
2024-01-04,0.007528425589160898,0.9409374721467942,0.051534102264044784,0.0015001803696367284,0.968676505008214,0.029823314622158797
2024-01-05,0.009090570863210246,0.9432631248987197,0.047646304238070133,0.0016904279035298679,0.9756536666143742,0.022655905482117912
2024-01-08,0.006069084255289475,0.9840171906825452,0.009913725062165325,0.0011354301779658376,0.9935434885160795,0.005321081306153331
2024-01-09,0.007852688825692422,0.9791803134607057,0.012966997713601871,0.001169392749830295,0.9856101430604779,0.013220464189746532
2024-01-10,0.00462421452552806,0.9850192895829951,0.010356495891476983,0.00019638951190225262,0.923199448896674,0.0766041615916122
2024-01-11,0.05538187855089943,0.4764249916590511,0.46819312979004957,0.0004651219659324992,0.1067279031393956,0.8928069748945637
2024-01-12,0.012120209486333557,0.029682252288509802,0.9581975382251567,0.00046070966423903195,0.006354670219643492,0.9931846201160588
2024-01-16,0.029689830953439515,0.14525854918382253,0.8250516198627379,0.0022495549148710318,0.044677425116001056,0.9530730199689944
2024-01-17,0.015873263133747425,0.06280137650284622,0.9213253603634064,0.005261309323501668,0.09287775886518221,0.9018609318113868
2024-01-18,0.029389756596554878,0.5380448569121772,0.43256538649126797,0.012174521190623396,0.6563835774214369,0.33144190138799784
2024-01-19,0.08961642254358648,0.7027742490213874,0.20760932843502602,0.020093634226145005,0.8623450823075973,0.11756128346604627
2024-01-22,0.024465832584111266,0.9534116190256827,0.02212254839020602,0.004952326094929337,0.9827311353083437,0.01231653859678713
2024-01-23,0.012219451484375895,0.9567903281048817,0.030990220410742328,0.002474671565283156,0.9819869291078701,0.01553839932688431
2024-01-24,0.010213889651165455,0.9720192702757547,0.01776684007307983,0.0019309439736670613,0.9892266463475293,0.008842409678685966
2024-01-25,0.007051402605581709,0.9770481262124444,0.01590047118197397,0.0013344531009063913,0.9904179470588352,0.008247599840167931
