date,jgb10,jpy3m,ust10,usd3m,usdjpy,hedge_cost,hedged_ust,pickup,d_pickup,tp10,d_tp10,be10,d_be10,vix,d_vix
2023-06-30,0.395,-0.003,3.81,5.17,144.47,5.173,-1.363,-1.758,,-76.12561159781892,,222.00000000000003,,13.59,
2023-07-31,0.595,-0.003,3.97,5.28,142.18,5.283,-1.3130000000000002,-1.9080000000000001,-0.15000000000000013,-62.67195047928951,13.45366111852941,237.0,14.999999999999972,13.63,0.040000000000000924
2023-08-31,0.64,-0.003,4.09,5.32,145.68,5.323,-1.2330000000000005,-1.8730000000000007,0.034999999999999476,-51.20337734138003,11.468573137909473,224.00000000000003,-12.999999999999972,13.57,-0.0600000000000005
2023-09-30,0.765,0.024,4.59,5.32,149.43,5.296,-0.7060000000000004,-1.4710000000000005,0.40200000000000014,14.93151490774034,66.13489224912037,235.0,10.999999999999972,17.52,3.9499999999999993
2023-10-31,0.95,-0.012,4.88,5.33,151.46,5.342,-0.46199999999999974,-1.4119999999999997,0.05900000000000083,40.37042299072277,25.438908082982433,242.0,7.0,18.14,0.620000000000001
2023-11-30,0.66,0.024,4.37,5.25,147.87,5.226,-0.8559999999999999,-1.516,-0.10400000000000031,5.43130391828503,-34.93911907243774,223.0,-19.0,12.92,-5.220000000000001
2023-12-31,0.62,0.052,3.88,5.2,140.92,5.148000000000001,-1.2680000000000007,-1.8880000000000008,-0.3720000000000008,-33.74773340795012,-39.179037326235154,216.0,-7.0,12.45,-0.47000000000000064
2024-01-31,0.73,0.025,3.99,5.22,146.26,5.194999999999999,-1.2049999999999992,-1.9349999999999992,-0.046999999999998376,-20.6558205894594,13.091912818490723,225.99999999999997,9.999999999999972,14.35,1.9000000000000004
2024-02-29,0.71,0.027,4.25,5.25,149.9,5.223,-0.9729999999999999,-1.6829999999999998,0.25199999999999934,-15.97785295400857,4.677967635450829,233.0,7.000000000000028,13.4,-0.9499999999999993
2024-03-31,0.725,0.109,4.2,5.23,151.22,5.121,-0.9210000000000003,-1.6460000000000004,0.03699999999999948,-26.57952316822234,-10.60167021421377,231.99999999999997,-1.0000000000000284,13.01,-0.39000000000000057
2024-04-30,0.87,0.109,4.69,5.25,157.54,5.141,-0.4509999999999996,-1.3209999999999997,0.3250000000000006,-3.7009747298728004,22.87854843834954,241.0,9.000000000000028,15.65,2.6400000000000006
2024-05-31,1.07,0.129,4.51,5.25,157.19,5.121,-0.6110000000000007,-1.6810000000000007,-0.360000000000001,0.36165434296222,4.06262907283502,235.0,-6.0,12.92,-2.7300000000000004
2024-06-30,1.05,0.149,4.36,5.22,160.88,5.071,-0.7109999999999994,-1.7609999999999995,-0.07999999999999874,-12.5611964543169,-12.92285079727912,227.99999999999997,-7.000000000000028,12.44,-0.4800000000000004
2024-07-31,1.045,0.166,4.09,5.15,150.38,4.984,-0.8940000000000001,-1.939,-0.1780000000000006,-11.576558555775481,0.9846378985414184,224.00000000000003,-3.999999999999943,16.36,3.92
2024-08-31,0.89,0.255,3.91,4.98,145.95,4.7250000000000005,-0.8150000000000004,-1.7050000000000005,0.23399999999999954,-12.8677764337358,-1.2912178779603192,215.0,-9.000000000000028,15.0,-1.3599999999999994
2024-09-30,0.855,0.256,3.81,4.52,143.25,4.263999999999999,-0.4539999999999993,-1.3089999999999993,0.39600000000000124,-11.33305374332418,1.5347226904116198,218.00000000000003,3.0000000000000284,16.73,1.7300000000000004
