h,ai_b,ai_t,bb_b,bb_t
0,0.0812373911964188,3.4699741167859934,-0.19666107154422724,-1.5288140804936254
1,0.07770469363158503,1.968466752251649,-0.19858920726211562,-0.9384003475786461
2,0.11478429374146487,3.236731845992121,-0.2945556365555526,-1.2346108561930367
3,0.06354828379865252,1.1824371416144457,-0.27988228517986247,-0.8182095266564445
5,0.012491531219592716,0.1850972753156639,-0.41680412723885374,-1.0879335005468138
10,0.017545114860427438,0.16129820656407026,-0.29658649499556056,-0.5424849736721721
20,-0.04531501103539509,-0.34089520848550303,0.03757322237977037,0.06830469540882605
