h,placebo,b_obs,mean,sd,p
0,uniform,0.0812373911964188,0.0011989991468894763,0.045607017123033,0.078
0,matched on lag,0.0812373911964188,0.0001266830371687836,0.0465589983948873,0.0825
0,matched on lag and release type,0.0812373911964188,0.00832998418911862,0.04910105100948226,0.1095
2,uniform,0.11478429374146487,0.006656139587555292,0.0783397945213025,0.156
2,matched on lag,0.11478429374146487,0.01900563472192982,0.07199794680723232,0.127
2,matched on lag and release type,0.11478429374146487,0.057623277888592,0.06719489956364383,0.2055
5,uniform,0.012491531219592716,0.0016093560504110947,0.10711357892023368,0.9005
5,matched on lag,0.012491531219592716,0.041191288875336414,0.10097288686154475,0.91
5,matched on lag and release type,0.012491531219592716,0.09895759083863334,0.0884672950231988,0.9435
