,cusip,issueDate,securityType,securityTerm,maturityDate,interestRate,refCpiOnIssueDate,refCpiOnDatedDate,announcementDate,auctionDate,auctionDateYear,datedDate,accruedInterestPer1000,accruedInterestPer100,adjustedAccruedInterestPer1000,adjustedPrice,allocationPercentage,allocationPercentageDecimals,announcedCusip,auctionFormat,averageMedianDiscountRate,averageMedianInvestmentRate,averageMedianPrice,averageMedianDiscountMargin,averageMedianYield,backDated,backDatedDate,bidToCoverRatio,callDate,callable,calledDate,cashManagementBillCMB,closingTimeCompetitive,closingTimeNoncompetitive,competitiveAccepted,competitiveBidDecimals,competitiveTendered,competitiveTendersAccepted,corpusCusip,cpiBaseReferencePeriod,currentlyOutstanding,directBidderAccepted,directBidderTendered,estimatedAmountOfPubliclyHeldMaturingSecuritiesByType,fimaIncluded,fimaNoncompetitiveAccepted,fimaNoncompetitiveTendered,firstInterestPeriod,firstInterestPaymentDate,floatingRate,frnIndexDeterminationDate,frnIndexDeterminationRate,highDiscountRate,highInvestmentRate,highPrice,highDiscountMargin,highYield,indexRatioOnIssueDate,indirectBidderAccepted,indirectBidderTendered,interestPaymentFrequency,lowDiscountRate,lowInvestmentRate,lowPrice,lowDiscountMargin,lowYield,maturingDate,maximumCompetitiveAward,maximumNoncompetitiveAward,maximumSingleBid,minimumBidAmount,minimumStripAmount,minimumToIssue,multiplesToBid,multiplesToIssue,nlpExclusionAmount,nlpReportingThreshold,noncompetitiveAccepted,noncompetitiveTendersAccepted,offeringAmount,originalCusip,originalDatedDate,originalIssueDate,originalSecurityTerm,pdfFilenameAnnouncement,pdfFilenameCompetitiveResults,pdfFilenameNoncompetitiveResults,pdfFilenameSpecialAnnouncement,pricePer100,primaryDealerAccepted,primaryDealerTendered,reopening,securityTermDayMonth,securityTermWeekYear,series,somaAccepted,somaHoldings,somaIncluded,somaTendered,spread,standardInterestPaymentPer1000,strippable,term,tiinConversionFactorPer1000,tips,totalAccepted,totalTendered,treasuryRetailAccepted,treasuryRetailTendersAccepted,type,unadjustedAccruedInterestPer1000,unadjustedPrice,updatedTimestamp,xmlFilenameAnnouncement,xmlFilenameCompetitiveResults,xmlFilenameSpecialAnnouncement,tintCusip1,tintCusip2,tintCusip1DueDate,tintCusip2DueDate
10,912810UW6,2026-09-15T00:00:00,Bond,29-Year 11-Month,2056-08-15T00:00:00,5.125000,,,2026-09-03T00:00:00,2026-09-10,2026,2026-08-15T00:00:00,4.3172600000,,,,64.29,2,,Single-Price,,,,,5.250000,Yes,2026-08-15T00:00:00,2.61,,No,,No,01:00 PM,12:00 PM,21957470500,3,57424319000,Yes,912803HX4,,31323000000.000000,4019900000,7991900000,43081000000,Yes,0,0,Normal,2027-02-15T00:00:00,No,,,,,97.262274,,5.3080,,17452770500,21120619000,Semi-Annual,,,,,4.000000,2026-09-15T00:00:00,7700000000,10000000,7700000000,100,100,100,100,100,8800000000,7700000000,42553500,Yes,22000000000,,2026-08-15T00:00:00,2026-08-17T00:00:00,30-Year,A_20260903_5.pdf,R_20260910_3.pdf,NCR_20260910_3.pdf,,97.262274,484800000,28311800000,Yes,11-Month,29-Year,Bonds of August 2056,0,0,No,0,,25.6250,Yes,30-Year,,No,22000024000,57466872500,17146500,Yes,Bond,,,2026-09-10T13:03:28,A_20260903_5.xml,R_20260910_3.xml,,,,,
11,912797WP8,2026-09-15T00:00:00,Bill,17-Week,2027-01-12T00:00:00,,,,2026-09-08T00:00:00,2026-09-09,2026,,,,,,37.41,2,,Single-Price,3.865000,,,,,,,2.73,,,,No,11:30 AM,11:00 AM,71370018400,3,195931713400,Yes,,,,5862410000,11550000000,276542000000,Yes,0,0,,,No,,,3.895000,4.001000,98.712486,,,,31190783400,33880713400,None,3.775000,,,,,2026-09-15T00:00:00,25200000000,10000000,25200000000,100,,100,100,100,0,25200000000,630049500,Yes,72000000000,,,,17-Week,A_20260908_1.pdf,R_20260909_1.pdf,NCR_20260909_1.pdf,,98.712486,34316825000,150501000000,No,119-Day,17-Week,,5647542600,19374000000,No,5647542600,,,,17-Week,,No,77647610500,202209305500,404433300,Yes,Bill,,,2026-09-09T11:33:24,A_20260908_1.xml,R_20260909_1.xml,,,,,
12,91282CRF0,2026-09-15T00:00:00,Note,9-Year 11-Month,2036-08-15T00:00:00,4.625000,,,2026-09-03T00:00:00,2026-09-09,2026,2026-08-15T00:00:00,3.8960600000,,,,89.25,2,,Single-Price,,,,,4.769000,Yes,2026-08-15T00:00:00,2.71,,No,,No,01:00 PM,12:00 PM,38901890000,3,105714440000,Yes,912821UZ6,,52623000000.000000,6420800000,14004800000,43081000000,Yes,0,0,Normal,2027-02-15T00:00:00,No,,,,,98.361116,,4.8340,,30804090000,36194640000,Semi-Annual,,,,,4.000000,2026-09-15T00:00:00,13650000000,10000000,13650000000,100,100,100,100,100,14700000000,13650000000,98150000,Yes,39000000000,,2026-08-15T00:00:00,2026-08-17T00:00:00,10-Year,A_20260903_1.pdf,R_20260909_2.pdf,NCR_20260909_2.pdf,,98.361116,1677000000,55515000000,Yes,11-Month,9-Year,E-2036,0,0,No,0,,23.1250,Yes,10-Year,,No,39000040000,105812590000,37804000,Yes,Note,,,2026-09-09T13:03:22,A_20260903_1.xml,R_20260909_2.xml,,,,,
13,91282CRL7,2026-09-15T00:00:00,Note,3-Year,2029-09-15T00:00:00,4.375000,,,2026-09-03T00:00:00,2026-09-08,2026,2026-09-15T00:00:00,,,,,29.35,2,,Single-Price,,,,,4.430000,No,,2.72,,No,,No,01:00 PM,12:00 PM,57619163700,3,157491500000,Yes,912821VD4,,,15525163700,22107500000,43081000000,Yes,105000000,105000000,Normal,2027-03-15T00:00:00,No,,,,,99.724933,,4.4740,,35809000000,44887000000,Semi-Annual,,,,,4.370000,2026-09-15T00:00:00,20300000000,10000000,20300000000,100,100,100,100,100,0,20300000000,275925100,Yes,58000000000,,,,3-Year,A_20260903_3.pdf,R_20260908_3.pdf,NCR_20260908_3.pdf,SPL_20260903_1.pdf,99.724933,6285000000,90497000000,No,0-Month,3-Year,AS-2029,0,0,No,0,,21.8750,Yes,3-Year,,No,58000088800,157872425100,107718100,Yes,Note,,,2026-09-08T13:03:18,A_20260903_3.xml,R_20260908_3.xml,,912834L63,,,
14,912797UL9,2026-09-10T00:00:00,Bill,6-Week,2026-10-22T00:00:00,,,,2026-09-03T00:00:00,2026-09-08,2026,,,,,,46.45,2,,Single-Price,3.700000,,,,,,,2.93,,,,No,01:00 PM,12:00 PM,71807279500,3,216680725000,Yes,,,180130000000.000000,2750000000,8525000000,258883000000,Yes,2000000000,2000000000,,,No,,,3.740000,3.809000,99.563667,,,,45217329500,55665725000,None,3.630000,,,,,2026-09-10T00:00:00,26250000000,10000000,26250000000,100,,100,100,100,58400000000,26250000000,1192978200,Yes,75000000000,,,2026-04-23T00:00:00,26-Week,A_20260903_6.pdf,R_20260908_4.pdf,NCR_20260908_4.pdf,SPL_20260903_1.pdf,99.563667,23839950000,152490000000,Yes,42-Day,6-Week,,5761677100,18898000000,No,5761677100,,,,6-Week,,No,80761934800,225635380300,764516200,Yes,Bill,,,2026-09-08T13:03:17,A_20260903_6.xml,R_20260908_4.xml,,,,,
15,912797VG9,2026-09-10T00:00:00,Bill,13-Week,2026-12-10T00:00:00,,,,2026-09-03T00:00:00,2026-09-08,2026,,,,,,20.33,2,,Single-Price,3.755000,,,,,,,2.61,,,,No,11:30 AM,11:00 AM,89654483200,3,237985039200,Yes,,,81951000000.000000,7230000000,13330000000,258883000000,Yes,500000000,500000000,,,No,,,3.800000,3.890000,99.039444,,,,46546339200,52888039200,None,3.680000,,,,,2026-09-10T00:00:00,32200000000,10000000,32200000000,100,,100,100,100,27000000000,32200000000,1845664000,Yes,92000000000,,,2026-06-11T00:00:00,26-Week,A_20260903_2.pdf,R_20260908_2.pdf,NCR_20260908_2.pdf,SPL_20260903_1.pdf,99.039444,35878144000,171767000000,Yes,91-Day,13-Week,,7067657200,18898000000,No,7067657200,,,,13-Week,,No,99067804400,247398360400,1027855500,Yes,Bill,,,2026-09-08T11:33:21,A_20260903_2.xml,R_20260908_2.xml,,,,,
16,912797WK9,2026-09-10T00:00:00,Bill,26-Week,2027-03-11T00:00:00,,,,2026-09-03T00:00:00,2026-09-08,2026,,,,,,79.1,2,,Single-Price,3.860000,,,,,,,2.88,,,,No,11:30 AM,11:00 AM,76844960500,3,225212614000,Yes,,,,6537750000,13065000000,258883000000,Yes,210000000,210000000,,,No,,,3.890000,4.023000,98.033389,,,,49517160500,62183614000,None,3.680000,,,,,2026-09-10T00:00:00,27650000000,10000000,27650000000,100,,100,100,100,0,27650000000,1945113200,Yes,79000000000,,,,26-Week,A_20260903_4.pdf,R_20260908_1.pdf,NCR_20260908_1.pdf,SPL_20260903_1.pdf,98.033389,20790050000,149964000000,No,182-Day,26-Week,,6068966500,18898000000,No,6068966500,,,,26-Week,,No,85069040200,233436693700,929737300,Yes,Bill,,,2026-09-08T11:33:20,A_20260903_4.xml,R_20260908_1.xml,,,,,
17,912797VK0,2026-09-08T00:00:00,Bill,4-Week,2026-10-06T00:00:00,,,,2026-09-01T00:00:00,2026-09-03,2026,,,,,,58.44,2,,Single-Price,3.660000,,,,,,,2.97,,,,No,11:30 AM,11:00 AM,82222291900,3,259672244700,Yes,,,177364000000.000000,2775320000,9500000000,270846000000,Yes,1900000000,1900000000,,,No,,,3.700000,3.762000,99.712222,,,,55571291900,68662244700,None,3.590000,,,,,2026-09-08T00:00:00,31500000000,10000000,31500000000,100,,100,100,100,59200000000,31500000000,5878560400,Yes,90000000000,,,2026-06-09T00:00:00,17-Week,A_20260901_2.pdf,R_20260903_2.pdf,NCR_20260903_2.pdf,,99.712222,23875680000,181510000000,Yes,28-Day,4-Week,,5384482800,14777000000,No,5384482800,,,,4-Week,,No,95385335100,272835287900,4678565200,Yes,Bill,,,2026-09-03T11:33:27,A_20260901_2.xml,R_20260903_2.xml,,,,,
18,912797VP9,2026-09-08T00:00:00,Bill,8-Week,2026-11-03T00:00:00,,,,2026-09-01T00:00:00,2026-09-03,2026,,,,,,89.23,2,,Single-Price,3.735000,,,,,,,3.02,,,,No,11:30 AM,11:00 AM,82760154400,3,254764908000,Yes,,,74703000000.000000,3817690000,10675000000,270846000000,Yes,1100000000,1100000000,,,No,,,3.750000,3.824000,99.416667,,,,58066329400,76129908000,None,3.590000,,,,,2026-09-08T00:00:00,29750000000,10000000,29750000000,100,,100,100,100,24400000000,29750000000,1141011500,Yes,85000000000,,,2026-07-07T00:00:00,17-Week,A_20260901_3.pdf,R_20260903_1.pdf,NCR_20260903_1.pdf,,99.416667,20876135000,167960000000,Yes,56-Day,8-Week,,5085344800,14777000000,No,5085344800,,,,8-Week,,No,90086510700,262091264300,721616500,Yes,Bill,,,2026-09-03T11:33:26,A_20260901_3.xml,R_20260903_1.xml,,,,,
19,912797WN3,2026-09-08T00:00:00,Bill,17-Week,2027-01-05T00:00:00,,,,2026-09-01T00:00:00,2026-09-02,2026,,,,,,76.38,2,,Single-Price,3.830000,,,,,,,2.78,,,,No,11:30 AM,11:00 AM,70938204500,3,199033144500,Yes,,,,4726380000,10300000000,270846000000,Yes,500000000,500000000,,,No,,,3.855000,3.959000,98.725708,,,,36341744500,41984144500,None,3.735000,,,,,2026-09-08T00:00:00,25200000000,10000000,25200000000,100,,100,100,100,0,25200000000,562029200,Yes,72000000000,,,,17-Week,A_20260901_1.pdf,R_20260902_1.pdf,NCR_20260902_1.pdf,,98.725708,29870080000,146749000000,No,119-Day,17-Week,,4307586200,14777000000,No,4307586200,,,,17-Week,,No,76307819900,204402759900,341713200,Yes,Bill,,,2026-09-02T11:33:25,A_20260901_1.xml,R_20260902_1.xml,,,,,
