date,ACMY01,ACMY02,ACMY03,ACMY04,ACMY05,ACMY06,ACMY07,ACMY08,ACMY09,ACMY10,ACMTP01,ACMTP02,ACMTP03,ACMTP04,ACMTP05,ACMTP06,ACMTP07,ACMTP08,ACMTP09,ACMTP10,ACMRNY01,ACMRNY02,ACMRNY03,ACMRNY04,ACMRNY05,ACMRNY06,ACMRNY07,ACMRNY08,ACMRNY09,ACMRNY10
1961-06-14,2.974670842286208,3.3675444845860913,3.551356228674905,3.6449351802625816,3.6982553125222215,3.7329200929360633,3.758520873195533,3.7793018986363114,3.797023215898812,3.812263496520921,0.011508893088599592,0.05604962331804675,0.07344163124688485,0.0771231645084578,0.07644547059502083,0.07570643645892972,0.07650270456009078,0.07908116738345816,0.08303765459221335,0.0876834548736114,2.9631619491976084,3.3114948612680446,3.47791459742802,3.5678120157541238,3.6218098419272007,3.6572136564771336,3.6820181686354423,3.7002207312528532,3.7139855613065986,3.7245800416473096
1961-06-15,2.9868334205304023,3.403620555385138,3.5967357324687033,3.6943798480539813,3.749883571863657,3.7859967536642327,3.812705655190911,3.8343972449168353,3.852889558995301,3.868790204485366,0.03350993924049428,0.09073268102782306,0.1121947724469523,0.11726669165258352,0.11735712677936805,0.11733372666900621,0.11890213517092718,0.12229734747497867,0.12708352002475998,0.13254595074445996,2.953323481289908,3.312887874357315,3.484540960021751,3.577113156401398,3.632526445084289,3.6686630269952265,3.693803520019984,3.7120998974418566,3.725806038970541,3.736244253740906
1961-06-16,2.992466420027066,3.404885903480047,3.597822237978088,3.6963559879156476,3.7527221210268,3.789448817233577,3.816544128523829,3.838459829529072,3.857070018447517,3.8730218223374577,0.033466180671539725,0.08822806301089114,0.1106893498083723,0.11732131619197395,0.11868052485314706,0.11953565310718028,0.1216749007144462,0.1254295968191661,0.13043731262184188,0.13603299467318175,2.959000239355526,3.316657840469156,3.487132888169716,3.5790346717236736,3.634041596173653,3.6699131641263967,3.6948692278093827,3.713030232709906,3.726632705825675,3.736988827664276
1961-06-19,2.990102929389973,3.4272628808447205,3.624735128436658,3.72210415976017,3.7767253428814493,3.812310522031027,3.8389156038460346,3.8608041195168723,3.8796689218210436,3.8960281877844243,0.0440539360249077,0.11443317275983445,0.13619201727260677,0.13884275976801463,0.1369045561990383,0.13575230833331942,0.13693014628574574,0.14042503335597356,0.14560461288348892,0.1516216996239632,2.946048993365065,3.312829708084886,3.4885431111640512,3.583261399992155,3.639820786682411,3.6765582136977075,3.701985457560289,3.7203790861608987,3.7340643089375547,3.744406488160461
1961-06-20,2.9805445121922425,3.3984501625038255,3.5959606321552373,3.696653701110274,3.753845205773934,3.790731604955421,3.817665195292621,3.839272010895921,3.857515062905722,3.873087019970163,0.016379045335988884,0.07968409056411208,0.10622219914966768,0.11445795566274519,0.11628194953474713,0.11709205903910291,0.11897022300441096,0.12238638958682202,0.12704358034585272,0.13230677704167304,2.9641654668562536,3.3187660719397134,3.4897384330055696,3.5821957454475286,3.637563256239187,3.673639545916318,3.69869497228821,3.716885621309099,3.7304714825598695,3.7407802429284898
1961-06-21,2.996476584058109,3.412060710426511,3.6102305289476164,3.7119823263409053,3.7699689283283866,3.807332726344329,3.8345060638522077,3.8561983221122746,3.874433313446534,3.88994338066826,0.015625446160060452,0.0792679773660856,0.10791742328737408,0.11818348113154231,0.12154491126293765,0.12344778648215904,0.12610094781129666,0.13008139291366572,0.13516611419145175,0.1407677792532933,2.9808511378980485,3.3327927330604252,3.5023131056602423,3.593798845209363,3.648424017065449,3.68388493986217,3.708405116040911,3.726116929198609,3.739267199255082,3.749175601414967
1961-06-22,2.982434237715786,3.391699034206624,3.5931847674444906,3.698890269914595,3.759633114425579,3.798568309117982,3.8264782554088077,3.8483849727812713,3.8665291906492443,3.881780912043152,-0.0006664758352306066,0.062211035586570596,0.0956267654829217,0.11024593123819537,0.11639997634642674,0.11976839020172436,0.12299528339669275,0.1270066738967639,0.13181290556218794,0.13697190398663217,2.983100713551017,3.3294879986200536,3.497558001961569,3.5886443386763998,3.643233138079152,3.6787999189162575,3.703482972012115,3.7213782988845074,3.7347162850870563,3.74480900805652
1961-06-23,2.969903445244668,3.360736329706583,3.5669355681338555,3.6809802098804396,3.7484874794899303,3.792005031949874,3.82278277595827,3.846391924866488,3.8654903314302302,3.8812284436095656,-0.02042643928203125,0.03648672879046,0.07923350726574308,0.1039523740656465,0.11744553307529326,0.12543985424623072,0.13133037102386957,0.13672377221031473,0.14211186204032034,0.14736581225104572,2.9903298845266995,3.324249600916123,3.4877020608681124,3.577027835814793,3.631041946414637,3.666565177703643,3.6914524049344006,3.7096681526561732,3.72337846938991,3.73386263135852
1961-06-26,2.9518624331102234,3.352054286678019,3.562118614444653,3.677894267067563,3.746289416760192,3.79033460827429,3.821467708730879,3.845338446640285,3.864640814775088,3.880543896890135,-0.015356860366255276,0.044761875594229394,0.08807470275083418,0.11249704526059734,0.12549543487681714,0.1329987093019933,0.13845056276915768,0.14346078541399354,0.14851324369039087,0.15347025034377104,2.9672192934764787,3.3072924110837896,3.4740439116938187,3.5653972218069656,3.620793981883375,3.657335898972297,3.6830171459617214,3.7018776612262916,3.716127571084697,3.727073646546364
1961-06-27,2.9560272873319833,3.3512873325384396,3.5602457356544077,3.6771055299849045,3.7473256099510337,3.7933291734315797,3.8263265538423634,3.851893016515384,3.8727082736069964,3.889950082498874,-0.004242692918888125,0.0525024069791904,0.09598143869037346,0.12192862139805705,0.13675220207658167,0.1460063541732377,0.1530216733344565,0.15938893784555397,0.16560502080276374,0.17155454099355172,2.9602699802508714,3.298784925559249,3.4642642969640343,3.5551769085868474,3.610573407874452,3.647322819258342,3.673304880507907,3.69250407866983,3.7071032528042327,3.7183955415053225
1961-06-28,2.9664689744794748,3.3734858912066708,3.581566527839523,3.6949830183087693,3.7620091332190917,3.8055836652468398,3.8368349487253535,3.861158224487963,3.881079351159425,3.8976657710205864,0.008133101598731152,0.06782963912978035,0.10727265369704408,0.12863429146443206,0.13995896030919264,0.1468544878227851,0.15236855072526945,0.15781803899942393,0.1634996606404342,0.1691639100510125,2.9583358728807436,3.3056562520768904,3.4742938741424787,3.5663487268443372,3.622050172909899,3.6587291774240547,3.684466398000084,3.703340185488539,3.7175796905189906,3.728501860969574
1961-06-29,2.9487491976910745,3.3428551197979113,3.556852285168477,3.6783526369390835,3.751779658552932,3.799772878466745,3.8339236127859526,3.860111028320022,3.881219908355893,3.8985582811387696,-0.015109367054209066,0.04459874753763948,0.093852053688114,0.12448490065612328,0.14238898506472575,0.15347361189155118,0.1614918585475973,0.16834962081670612,0.1747499142690505,0.18070543954600016,2.9638585647452835,3.298256372260272,3.463000231480363,3.5538677362829603,3.6093906734882064,3.646299266575194,3.6724317542383553,3.691761407503316,3.7064699940868424,3.7178528415927694
1961-06-30,2.898795608668315,3.2692453787657256,3.494397581870202,3.629329498675078,3.712201413669863,3.765688297222395,3.8025428967665915,3.8296804601963266,3.850704868744078,3.8673813803341326,-0.08215933913522333,-0.021292446729072267,0.0456711687998137,0.09173054652371881,0.11950446222105882,0.13588521662292452,0.14615128617276785,0.15340026293889064,0.1591250894594194,0.1638289864417164,2.9809549478035384,3.290537825494798,3.4487264130703883,3.537598952151359,3.5926969514488043,3.6298030805994705,3.6563916105938237,3.676280197257436,3.6915797792846585,3.703552393892416
1961-07-03,2.925494143441259,3.3017416256759704,3.516967666262838,3.6426486958052164,3.7194535114640406,3.76955892959121,3.8048339943037957,3.831495865748342,3.8526841782589853,3.8698752167158754,-0.04758275676621837,0.008585151500838606,0.0637068880553775,0.10028066619317055,0.12218635606487327,0.13549358885398544,0.14449695374252958,0.15156430711002145,0.15771626862879584,0.1631673871545991,2.9730769002074773,3.293156474175132,3.4532607782074605,3.542368029612046,3.5972671553991673,3.6340653407372248,3.660337040561266,3.6799315586383203,3.6949679096301895,3.7067078295612763
1961-07-05,2.9200960250330983,3.3183401418893963,3.5322993396191884,3.6550808386359974,3.7311386146430947,3.782505230771028,3.8202854148256855,3.8500632034762017,3.874568416803152,3.8950401247677813,0.010557370796719479,0.06964412842245604,0.1165524682812431,0.146189782547669,0.1644665809317316,0.17676854818118848,0.1863983580733395,0.19497320354460568,0.20303474116788944,0.21051591396247904,2.909538654236379,3.2486960134669403,3.4157468713379453,3.5088910560883284,3.566672033711363,3.6057366825898396,3.633887056752346,3.655089999931596,3.6715336756352626,3.6845242108053022
1961-07-06,2.9150901099565227,3.3217706975810057,3.539030911428435,3.6628944140656206,3.7390808414218877,3.790169276283468,3.8275083976613344,3.8567943577082855,3.8808090522810574,3.9008151365766683,0.014189718363153414,0.07590269023679674,0.12341500937575933,0.15278515287177408,0.17047824023163605,0.18211549830753038,0.19109646429562632,0.19907558912173817,0.20660588145116154,0.21362038173530085,2.9009003915933693,3.245868007344209,3.4156159020526755,3.5101092611938465,3.5686026011902516,3.6080537779759374,3.636411933365708,3.6577187685865473,3.674203170829896,3.6871947548413675
1961-07-07,2.922456738102701,3.339911694466666,3.56004501815765,3.684081747093546,3.759603305456994,3.809825613576542,3.8463078508175528,3.874809305350403,3.8981245692162405,3.9175123824504903,0.021992342561005795,0.08744759662589008,0.13500652535285207,0.16340517366751772,0.18004143766243041,0.19078306963669345,0.1990608793539539,0.20650398864315145,0.21363168220753215,0.2203474704391719,2.9004643955416953,3.2524640978407757,3.425038492804798,3.5206765734260284,3.5795618677945638,3.6190425439398486,3.647246971463599,3.6683053167072517,3.6844928870087084,3.6971649120113184
1961-07-10,2.9142137643353507,3.3483875734986595,3.5738283277009693,3.6987851609074474,3.7736925026525205,3.8228237515074706,3.8581257433819838,3.8854967319963447,3.9077765342305892,3.926233299119536,0.02817620728100545,0.09949970689328769,0.14727325507008837,0.17409060282415423,0.1888375687057806,0.19783546662420504,0.2046173149910553,0.2108067607078321,0.2168903998565348,0.22273666889875,2.8860375570543453,3.2488878666053718,3.426555072630881,3.524694558083293,3.58485493394674,3.6249882848832655,3.6535084283909285,3.6746899712885126,3.6908861343740544,3.703496630220786
1961-07-11,2.884323354278043,3.3199516367254946,3.5545873053029586,3.687390542965451,3.7676184047136894,3.8200459801973476,3.857279350353004,3.8857185119935402,3.908536138524498,3.9272103219354113,0.011829850604130776,0.08783694175667911,0.14411676659541284,0.1776020413501791,0.19652528073310638,0.2078008277557295,0.21562409264949567,0.22210454981613958,0.2280435529550746,0.23350344641156928,2.8724935036739123,3.2321146949688155,3.410470538707546,3.509788501615272,3.571093123980583,3.612245152441618,3.6416552577035084,3.6636139621774007,3.6804925855694233,3.693706875523842
1961-07-12,2.852386899106858,3.306344015866214,3.547901815553502,3.6842492306413828,3.7669032653869405,3.821304932814153,3.8602557743621047,3.890216459584554,3.9143849168445226,3.9342566546963265,0.032847690045543665,0.11387769385058455,0.1705507003641693,0.2034807612175329,0.22191459748108233,0.2329270940228727,0.24066317097145573,0.24715804480226478,0.253157460122039,0.25868930803496504,2.8195392090613143,3.1924663220156293,3.3773511151893327,3.48076846942385,3.544988667905858,3.5883778387912804,3.619592603390649,3.6430584147822893,3.6612274567224836,3.6755673466613614
1961-07-13,2.850918268324304,3.303383066285892,3.543597208053705,3.6788294103673778,3.760600116702437,3.8143064303120457,3.852704380831081,3.8822188827292514,3.906021856891383,3.925590190490361,0.03023134286580831,0.11003073662243779,0.16554859214076467,0.1975298006119206,0.21521832707997257,0.22564546078716985,0.23291459908032008,0.23902987847994073,0.24471523282415308,0.2499833573795236,2.820686925458496,3.1933523296634543,3.3780486159129404,3.481299609755457,3.5453817896224646,3.588660969524876,3.619789781750761,3.6431890042493107,3.66130662406723,3.6756068331108374
1961-07-14,2.833680716880762,3.297369146525169,3.54301451047399,3.6829484812857665,3.7693121329564203,3.8274373726052704,3.869961398356683,3.9032422032593894,3.930433699132843,3.9530250274620724,0.0577063910445097,0.14250867157955627,0.20021925262896767,0.23425596308095153,0.2542386276420281,0.26707348862096625,0.2767011875957346,0.2850194038951557,0.29270020684904363,0.2997407628905133,2.7759743258362524,3.154860474945613,3.3427952578450224,3.448692518204815,3.515073505314392,3.560363883984304,3.5932602107609486,3.6182227993642337,3.6377334922837994,3.653284264571559
1961-07-17,2.7970335205549146,3.2732498368879064,3.525246371541027,3.6673617233130074,3.7536881582524804,3.810690538535169,3.8516182455676953,3.883150635950302,3.9086054651363846,3.9295511460822663,0.04896621604171658,0.13659201192406378,0.19520637228020066,0.22838058740552025,0.24649150884500814,0.257004715059892,0.2641949070482532,0.270139090370499,0.27559610106471677,0.28059796760239175,2.748067304513198,3.1366578249638426,3.3300399992608263,3.438981135907487,3.507196649407472,3.553685823475277,3.587423338519442,3.613011545579803,3.633009364071668,3.6489531784798745
1961-07-18,2.7881305435454586,3.268273863390334,3.5239138217860186,3.668256294444991,3.7557280516856073,3.8131967302042056,3.854197503040928,3.885587953743218,3.9107913916965775,3.9314370806103627,0.04442015791758269,0.13472278295665063,0.19577315887044433,0.23040245813923743,0.24916706508388042,0.25982270724403733,0.26686564902406174,0.2725143789757283,0.27761133960226525,0.2822356663344614,2.743710385627876,3.1335510804336835,3.3281406629155743,3.4378538363057536,3.506560986601727,3.5533740229601682,3.5873318540168664,3.6130735747674896,3.6331800520943123,3.6492014142759013
1961-07-19,2.7743310751752994,3.2577471935464577,3.515131969253643,3.6600053137965536,3.747376124622333,3.8044477398699486,3.8449312392944868,3.8757736670825644,3.900442427267961,3.92058716643951,0.03947498879566691,0.13085872539953325,0.19215261263655048,0.22641175953129222,0.24449960722797437,0.25435911730741756,0.26058775438364457,0.26545463792136115,0.269824977926715,0.2737858611636139,2.7348560863796325,3.1268884681469244,3.3229793566170924,3.4335935542652614,3.5028765173943586,3.550088622562531,3.584343484910842,3.6103190291612033,3.630617449341246,3.646801305275896
1961-07-20,2.7638882039940245,3.2405231900323135,3.494325313132385,3.637122775733177,3.7231902624218813,3.779387772125164,3.8192537837073997,3.849642257001763,3.8739670131741035,3.8938450115077328,0.03237068131270959,0.11938481427799674,0.17816244318112062,0.21082325330552942,0.22778601603573323,0.23678408346452962,0.24231155571111085,0.24658343580705377,0.250434683668594,0.2539343036180872,2.731517522681315,3.1211383757543167,3.316162869951264,3.4262995224276476,3.495404246386148,3.5426036886606345,3.576942227996289,3.6030588211947094,3.6235323295055095,3.6399107078896455
