operation_date,operation_start_time_est,operation_close_time_est,settlement_date,preliminary_ann_pdf,preliminary_ann_xml,final_ann_pdf,final_ann_xml,results_pdf,results_xml,special_ann_pdf,operation_type,security_type,maturity_bucket,nbr_issues_accepted,total_par_amt_offered,par_amt_per_offer,max_par_amt_redeemed,max_nbr_offers,nbr_issues_eligible,total_par_amt_accepted,par,mx,tenor,fill,exp_fill,dur,surprise_par,ten10_surprise,ten10_expected,is_long
2025-10-28,01:40 PM,02:00 PM,2025-10-29,BBPA_20251028174000.pdf,BBPA_20251028174000.xml,BBA_20251028174000.pdf,BBA_20251028174000.xml,BBR_20251028174000.pdf,BBR_20251028174000.xml,null,Liquidity Support,Nominal Coupons,20Y to 30Y,8,25417000000.00,1000000.00,2000000000,9,34,2000000000.00,2000000000.0,2000000000.0,25.0,1.0,1.0,14.917198135638563,0.0,0.0,3.737776725091688,True
2025-11-05,01:40 PM,02:00 PM,2025-11-06,BBPA_20251105184000.pdf,BBPA_20251105184000.xml,BBA_20251105184000.pdf,BBA_20251105184000.xml,BBR_20251105184000.pdf,BBR_20251105184000.xml,null,Liquidity Support,Nominal Coupons,10Y to 20Y,3,24090000000.00,1000000.00,2000000000,9,33,2000000000.00,2000000000.0,2000000000.0,15.0,1.0,1.0,10.822664923884947,0.0,0.0,2.711816568241331,True
2025-11-12,01:40 PM,02:00 PM,2025-11-13,BBPA_20251112184000.pdf,BBPA_20251112184000.xml,BBA_20251112184000.pdf,BBA_20251112184000.xml,BBR_20251112184000.pdf,BBR_20251112184000.xml,null,Liquidity Support,TIPS,10Y to 30Y,5,1392000000.00,1000000.00,500000000,9,15,142000000.00,142000000.0,500000000.0,20.0,0.284,1.0,13.096761102873545,-358000000.0,-0.587412296859844,0.8204082358377709,True
2025-11-18,01:40 PM,02:00 PM,2025-11-19,BBPA_20251118184000.pdf,BBPA_20251118184000.xml,BBA_20251118184000.pdf,BBA_20251118184000.xml,BBR_20251118184000.pdf,BBR_20251118184000.xml,null,Liquidity Support,Nominal Coupons,5Y to 7Y,10,8437000000.00,1000000.00,4000000000,9,26,3387000000.00,3387000000.0,4000000000.0,6.0,0.84675,0.4236156810396937,5.2073894100913245,1692537275.8412251,1.1042169242508986,1.1054730931101349,False
2025-11-20,01:40 PM,02:00 PM,2025-11-21,BBPA_20251120184000.pdf,BBPA_20251120184000.xml,BBA_20251120184000.pdf,BBA_20251120184000.xml,BBR_20251120184000.pdf,BBR_20251120184000.xml,null,Liquidity Support,Nominal Coupons,20Y to 30Y,10,25436000000.00,1000000.00,2000000000,9,35,785000000.00,785000000.0,2000000000.0,25.0,0.3925,1.0,14.917198135638563,-1215000000.0,-2.2706993604932,3.737776725091688,True
2025-12-03,01:40 PM,02:00 PM,2025-12-04,BBPA_20251203184000.pdf,BBPA_20251203184000.xml,BBA_20251203184000.pdf,BBA_20251203184000.xml,BBR_20251203184000.pdf,BBR_20251203184000.xml,null,Cash Management,Nominal Coupons,1Mo to 2Y,23,34608000000.00,1000000.00,12500000000,9,46,12500000000.00,12500000000.0,12500000000.0,1.0,1.0,1.0,0.9672347726280928,0.0,0.0,1.5147397269059413,False
2025-12-04,01:40 PM,02:00 PM,2025-12-05,BBPA_20251204184000.pdf,BBPA_20251204184000.xml,BBA_20251204184000.pdf,BBA_20251204184000.xml,BBR_20251204184000.pdf,BBR_20251204184000.xml,null,Liquidity Support,Nominal Coupons,10Y to 20Y,2,28411000000.00,1000000.00,2000000000,9,34,2000000000.00,2000000000.0,2000000000.0,15.0,1.0,1.0,10.822664923884947,0.0,0.0,2.711816568241331,True
2025-12-11,01:40 PM,02:00 PM,2025-12-12,BBPA_20251211184000.pdf,BBPA_20251211184000.xml,BBA_20251211184000.pdf,BBA_20251211184000.xml,BBR_20251211184000.pdf,BBR_20251211184000.xml,null,Cash Management,Nominal Coupons,1Mo to 2Y,16,33621000000.00,1000000.00,12500000000,9,48,12500000000.00,12500000000.0,12500000000.0,1.0,1.0,1.0,0.9672347726280928,0.0,0.0,1.5147397269059413,False
2025-12-17,01:40 PM,02:00 PM,2025-12-18,BBPA_20251217184000.pdf,BBPA_20251217184000.xml,BBA_20251217184000.pdf,BBA_20251217184000.xml,BBR_20251217184000.pdf,BBR_20251217184000.xml,null,Liquidity Support,Nominal Coupons,3Y to 5Y,16,11941000000.00,1000000.00,4000000000,9,48,3714000000.00,3714000000.0,4000000000.0,4.0,0.9285,1.0,3.623592303297143,-286000000.0,-0.12983789418457758,1.8159146039801062,False
2025-12-18,01:40 PM,02:00 PM,2025-12-19,BBPA_20251218184000.pdf,BBPA_20251218184000.xml,BBA_20251218184000.pdf,BBA_20251218184000.xml,BBR_20251218184000.pdf,BBR_20251218184000.xml,null,Liquidity Support,Nominal Coupons,20Y to 30Y,4,24629000000.00,1000000.00,2000000000,9,35,2000000000.00,2000000000.0,2000000000.0,25.0,1.0,1.0,14.917198135638563,0.0,0.0,3.737776725091688,True
2025-12-23,01:40 PM,02:00 PM,2025-12-24,BBPA_20251223184000.pdf,BBPA_20251223184000.xml,BBA_20251223184000.pdf,BBA_20251223184000.xml,BBR_20251223184000.pdf,BBR_20251223184000.xml,null,Liquidity Support,TIPS,10Y to 30Y,4,1190000000.00,1000000.00,500000000,9,15,108000000.00,108000000.0,500000000.0,20.0,0.216,1.0,13.096761102873545,-392000000.0,-0.6432000568968124,0.8204082358377709,True
2026-01-08,01:40 PM,02:00 PM,2026-01-09,BBPA_20260108184000.pdf,BBPA_20260108184000.xml,BBA_20260108184000.pdf,BBA_20260108184000.xml,BBR_20260108184000.pdf,BBR_20260108184000.xml,null,Liquidity Support,Nominal Coupons,10Y to 20Y,1,28645000000.00,1000000.00,2000000000,9,35,2000000000.00,2000000000.0,2000000000.0,15.0,1.0,1.0,10.822664923884947,0.0,0.0,2.711816568241331,True
2026-01-14,01:40 PM,02:00 PM,2026-01-15,BBPA_20260114184000.pdf,BBPA_20260114184000.xml,BBA_20260114184000.pdf,BBA_20260114184000.xml,BBR_20260114184000.pdf,BBR_20260114184000.xml,null,Liquidity Support,Nominal Coupons,20Y to 30Y,5,25101000000.00,1000000.00,2000000000,9,35,2000000000.00,2000000000.0,2000000000.0,25.0,1.0,1.0,14.917198135638563,0.0,0.0,3.737776725091688,True
