issuer,announce,d0,d1,total_usd,dollar_dur,tenyr_equiv,concession_bp,dy10,n_ctl,r2_ctl,targets
Meta,2024-08-07,2024-08-06,2024-08-08,10500000000.0,122131107896.4934,15301091007.65233,0.07590670400716494,11.519999999999975,17,0.9996808893458013,"[5, 7, 10, 30]"
Oracle,2025-09-24,2025-09-23,2025-09-25,18000000000.0,169564272489.9839,21243714314.08341,0.01938856285245018,4.9600000000000755,12,0.9974983084415835,"[5, 7, 10, 20, 30]"
Alphabet,2025-11-03,2025-10-31,2025-11-04,17000000000.0,177634453727.51913,22254780042.467915,-0.015222413527760615,-1.0699999999999932,10,0.9999706305065745,"[3, 5, 7, 10, 20, 30]"
Amazon,2025-11-17,2025-11-14,2025-11-18,15000000000.0,132072705710.5604,16546615555.283852,-0.11179229969746399,-2.430000000000021,15,0.9999429365978436,"[3, 5, 8, 10, 30]"
Oracle,2026-02-02,2026-01-30,2026-02-03,25000000000.0,205436934958.7781,25737990036.096848,0.324744128399183,2.9799999999999827,10,0.9998897742932059,"[3, 5, 7, 10, 20, 30]"
Alphabet,2026-02-09,2026-02-06,2026-02-10,20000000000.0,174655072800.53873,21881510860.722458,0.09951654099279317,-6.440000000000001,10,0.9999040452975885,"[3, 5, 7, 10, 20, 30]"
Amazon,2026-07-07,2026-07-06,2026-07-08,25000000000.0,200121256132.74548,25072019777.69628,0.04938998373207872,9.590000000000032,10,0.9999380197286516,"[3, 5, 7, 10, 20, 30]"
