sample,h,b,t,n
all tenors,0,4.502894899017379,1.8141491609345386,220
all tenors,1,2.1362591726407594,0.6229793615208253,220
all tenors,2,5.169329764999287,1.3379907512830749,220
all tenors,5,-3.4105484530829964,-0.6690684058588015,220
7-10y only (selected),0,14.756190191948768,2.5919787144178046,66
7-10y only (selected),1,7.434850774092638,1.0042246425080792,66
7-10y only (selected),2,6.862906998892663,0.7586322039439836,66
7-10y only (selected),5,4.899943168967262,0.4177225345052417,66
