announce,issuer,tenor,dy_bp,pred_bp,resid_bp,dur_w
2024-08-07,Meta,5,10.14999999999997,9.026874574847586,1.1231254251523843,4456247463.38138
2024-08-07,Meta,7,11.120000000000019,10.277165448156559,0.8428345518434597,5937600745.992126
2024-08-07,Meta,10,11.519999999999975,11.174916220014039,0.3450837799859361,19718530907.209496
2024-08-07,Meta,30,10.899999999999999,10.982359218611933,-0.08235921861193418,92018728779.9104
2025-09-24,Oracle,5,8.49000000000002,7.721842344559946,0.7681576554400742,13316628930.64448
2025-09-24,Oracle,7,6.919999999999993,6.607087515306409,0.3129124846935838,17658449141.605854
2025-09-24,Oracle,10,4.9600000000000755,5.067435115016976,-0.10743511501690062,30885820701.22072
2025-09-24,Oracle,20,1.9899999999999807,1.887860795851065,0.10213920414891575,29187621723.92016
2025-09-24,Oracle,30,0.24999999999995026,0.40266871511651914,-0.15266871511656888,78515751992.59268
2025-11-03,Alphabet,3,-1.629999999999976,-1.0766189093561032,-0.5533810906438728,2806632371.612898
2025-11-03,Alphabet,5,-1.4900000000000357,-1.4394573565088482,-0.05054264349118753,11198914314.860992
2025-11-03,Alphabet,7,-1.4100000000000001,-1.4284609181148094,0.01846091811480921,7467509398.137015
2025-11-03,Alphabet,10,-1.0699999999999932,-1.0777428749941738,0.007742874994180582,27671598696.967884
2025-11-03,Alphabet,20,0.2600000000000158,0.25891075312276435,0.0010892468772514263,24378854429.458595
2025-11-03,Alphabet,30,0.49000000000001265,0.5021249718016536,-0.01212497180164096,104110944516.48175
2025-11-17,Amazon,3,-4.300000000000015,-3.6368590475129157,-0.6631409524870993,7013618627.548975
2025-11-17,Amazon,5,-4.0000000000000036,-3.4986862033508346,-0.501313796649169,11198914314.860992
2025-11-17,Amazon,8,-3.0100000000000016,-2.837942379580474,-0.17205762041952744,10043520665.20811
2025-11-17,Amazon,10,-2.430000000000021,-2.3711229741954423,-0.058877025804578764,27737480810.608757
2025-11-17,Amazon,30,0.47999999999994714,0.5012683774902085,-0.021268377490261337,76079171292.33356
2026-02-02,Oracle,3,3.9099999999999913,0.21526907939381523,3.694730920606176,8324722051.4939
2026-02-02,Oracle,5,3.0700000000000394,1.5531539801533611,1.5168460198466782,15335916615.648035
2026-02-02,Oracle,7,2.859999999999996,2.3072366592036095,0.5527633407963863,17325676040.02424
2026-02-02,Oracle,10,2.9799999999999827,2.901339646646897,0.07866035335308563,37714782244.88145
2026-02-02,Oracle,20,2.9000000000000803,2.900545216831029,-0.0005452168309485472,24885873614.928253
2026-02-02,Oracle,30,1.6099999999999781,1.601313807476033,0.008686192523945202,101724964391.80223
2026-02-09,Alphabet,3,-4.869999999999974,-5.981028921335371,1.1110289213353965,7037370953.694312
2026-02-09,Alphabet,5,-5.579999999999963,-5.995036112024432,0.41503611202446944,13438697177.83319
2026-02-09,Alphabet,7,-6.009999999999982,-6.158016078883115,0.14801607888313306,17906360017.014587
2026-02-09,Alphabet,10,-6.440000000000001,-6.468323964791048,0.028323964791046485,33442052227.271133
2026-02-09,Alphabet,20,-7.289999999999974,-7.29154408050868,0.0015440805087054699,18058575795.03593
2026-02-09,Alphabet,30,-7.68999999999993,-7.697450982600001,0.007450982600071043,84772016629.68958
2026-07-07,Amazon,3,8.539999999999992,8.008258898005636,0.5317411019943563,9704027580.372114
2026-07-07,Amazon,5,9.619999999999962,9.348166039958693,0.2718339600412687,18694607350.22291
2026-07-07,Amazon,7,9.919999999999973,9.819551942978332,0.10044805702164084,17475789787.756252
2026-07-07,Amazon,10,9.590000000000032,9.576383658858791,0.01361634114124044,34583697845.14642
2026-07-07,Amazon,20,7.460000000000022,7.461750687686294,-0.0017506876862718457,31782811464.53385
2026-07-07,Amazon,30,7.560000000000056,7.575913357050483,-0.015913357050427734,87692822104.71393
