date,b0,b1,b2,b3
2024-01-02,2.419189257967475,3.2735412563927615,0.3622700107842917,5.391142160220819
2024-01-03,2.2741167892317597,3.417948618526811,0.5590460238832822,5.715805940627588
2024-01-04,2.3734938661401777,3.3185887540068904,0.5532693037873413,5.678852135763319
2024-01-05,2.453333391232375,3.2195297557061107,0.4877085607487002,5.683481030876172
2024-01-08,2.3465711710416155,3.345367328513244,0.47478105423590655,5.9021052602143405
2024-01-09,2.343774909026222,3.3373028118846415,0.47482159691061504,5.938894973785251
2024-01-10,2.3815836414463387,3.292087594384853,0.44728800697773957,5.887374199961194
2024-01-11,2.283003794328938,3.4237392446215136,0.21136316688020026,6.151842448645143
2024-01-12,2.377241925152556,3.3632159626311773,-0.36796691153870986,5.959767753708975
2024-01-16,2.515572710886299,3.203272358347222,-0.29097729558588253,5.858036488639235
2024-01-17,2.5528834716533977,3.1408493906620323,0.08400174018637871,5.680764262203637
2024-01-18,2.5214003349666196,3.158060890757853,0.11565110996906591,5.986437318747505
2024-01-19,2.5981670298282857,3.074022481282135,0.20792947341104934,5.68429738241574
2024-01-22,2.4027674474554437,3.2695230896082386,0.3926404091876015,6.179981873438034
2024-01-23,2.603602770635587,3.0819066570065554,0.017896569812704502,5.741330013530255
2024-01-24,2.5218462415764713,3.144486970775757,0.21186733241506076,6.112356651912417
2024-01-25,2.5171826787212277,3.17600965264174,-0.055536595978873816,6.056546781904913
2024-01-26,2.57816769277701,3.101514448875588,0.026264322877537053,5.843092318372921
2024-01-29,2.3889755567156343,3.2811505338982765,0.17873592730496865,6.202367734803501
2024-01-30,2.382244795624183,3.2649937918610314,0.42373211652984244,6.092053830652751
2024-01-31,2.28521830680147,3.384832051459179,0.2493169431511853,6.23039735318639
2024-02-01,2.0680952216334054,3.58256158997409,0.3873100865733735,6.496292230650223
2024-02-02,2.3938449226546954,3.237209820904915,0.5275240471893329,5.83111694627185
2024-02-05,2.6438380195166844,2.9677628631396122,0.5189709093025248,5.462432117244046
2024-02-06,2.413137818137141,3.2175880063772855,0.5189590803247681,6.001388163481279
2024-02-07,2.415856016984218,3.1975351180246268,0.5988533340887608,6.038349291324097
2024-02-08,2.6101617441371596,3.0149940216975217,0.43486818647581793,5.608269734266593
2024-02-09,2.6092274584651847,3.0120083454377884,0.534478791005829,5.635327916109861
2024-02-12,2.5483815626285327,3.0716413679752885,0.596731400601887,5.829106083727945
2024-02-13,2.836742944783581,2.749150169427678,0.838327314253487,5.196387256058025
2024-02-14,2.713246776497611,2.8807706337298935,0.7537638637879568,5.55811090882048
2024-02-15,2.6820637137520853,2.916476570188212,0.7605383631575046,5.55395810059924
2024-02-16,2.7776735938362664,2.800601632041025,0.8974228804797653,5.34766216673356
2024-02-20,2.6774635506170523,2.9212924387963177,0.8661947385703587,5.629348049483205
2024-02-21,2.829693261042377,2.7674345120139936,0.7811781757851212,5.279050905521294
2024-02-22,2.881470204682145,2.6956637016690386,0.937972451533421,5.036403033230369
2024-02-23,2.801809254883283,2.781002942988449,0.9973041072984123,4.995869224245219
2024-02-26,2.7995952658129735,2.7911666711671623,1.0603183764975905,5.079565159600585
2024-02-27,2.8376364534510237,2.74074742629587,1.0374506481551256,5.091792562666433
