issuer,filing_date,form,accession,file,prelim,trade_date,n_tranches,total,not_debt,nchars
Alphabet,2026-08-06,424B5,0001193125-26-336798,Alphabet_2026-08-06_424B5_0001193125-26-336798.htm,True,,0,0.0,True,237639
Alphabet,2026-08-06,424B5,0001193125-26-336853,Alphabet_2026-08-06_424B5_0001193125-26-336853.htm,False,,0,0.0,False,3779
Alphabet,2026-08-07,424B2,0001193125-26-340264,Alphabet_2026-08-07_424B2_0001193125-26-340264.htm,False,,10,25000000000.0,False,245775
Alphabet,2026-08-07,FWP,0001193125-26-338750,Alphabet_2026-08-07_FWP_0001193125-26-338750.htm,False,2026-08-06,0,0.0,False,15791
Amazon,2025-11-17,424B5,0001104659-25-112970,Amazon_2025-11-17_424B5_0001104659-25-112970.htm,True,2025-11-17,0,0.0,False,164406
Amazon,2025-11-17,FWP,0001104659-25-113283,Amazon_2025-11-17_FWP_0001104659-25-113283.htm,False,2025-11-17,0,0.0,False,8112
Amazon,2025-11-19,424B5,0001104659-25-114098,Amazon_2025-11-19_424B5_0001104659-25-114098.htm,False,,6,15000000000.0,False,169195
Amazon,2026-03-10,424B5,0001104659-26-025560,Amazon_2026-03-10_424B5_0001104659-26-025560.htm,True,2026-03-10,0,0.0,False,217420
Amazon,2026-03-10,FWP,0001104659-26-025948,Amazon_2026-03-10_FWP_0001104659-26-025948.htm,False,2026-03-10,0,0.0,False,12711
Amazon,2026-03-11,424B5,0001104659-26-026082,Amazon_2026-03-11_424B5_0001104659-26-026082.htm,True,2026-03-11,0,0.0,False,255918
Amazon,2026-03-11,FWP,0001104659-26-026393,Amazon_2026-03-11_FWP_0001104659-26-026393.htm,False,2026-03-11,0,0.0,False,19395
Amazon,2026-03-12,424B5,0001104659-26-027125,Amazon_2026-03-12_424B5_0001104659-26-027125.htm,False,,11,37000000000.0,False,226816
Amazon,2026-03-13,424B5,0001104659-26-027669,Amazon_2026-03-13_424B5_0001104659-26-027669.htm,False,,8,14500000000.0,False,262774
Amazon,2026-06-08,424B5,0001104659-26-071190,Amazon_2026-06-08_424B5_0001104659-26-071190.htm,True,2026-06-08,0,0.0,False,212513
Amazon,2026-06-08,FWP,0001104659-26-071456,Amazon_2026-06-08_FWP_0001104659-26-071456.htm,False,2026-06-08,0,0.0,False,14501
Amazon,2026-06-10,424B5,0001104659-26-072332,Amazon_2026-06-10_424B5_0001104659-26-072332.htm,False,,5,14000000000.0,False,215493
Amazon,2026-07-07,424B5,0001104659-26-080950,Amazon_2026-07-07_424B5_0001104659-26-080950.htm,True,2026-07-07,0,0.0,False,208979
Amazon,2026-07-07,FWP,0001104659-26-081334,Amazon_2026-07-07_FWP_0001104659-26-081334.htm,False,2026-07-07,0,0.0,False,11017
Amazon,2026-07-08,424B5,0001104659-26-081786,Amazon_2026-07-08_424B5_0001104659-26-081786.htm,False,,8,25000000000.0,False,216595
Amazon,2026-08-18,424B3,0001104659-26-098339,Amazon_2026-08-18_424B3_0001104659-26-098339.htm,False,,0,0.0,False,1079241
Amazon,2026-09-09,424B5,0001104659-26-106115,Amazon_2026-09-09_424B5_0001104659-26-106115.htm,True,2026-09-09,0,0.0,False,230618
Amazon,2026-09-09,FWP,0001104659-26-106322,Amazon_2026-09-09_FWP_0001104659-26-106322.htm,False,2026-09-09,0,0.0,False,15131
Amazon,2026-09-11,424B5,0001104659-26-107122,Amazon_2026-09-11_424B5_0001104659-26-107122.htm,False,,4,4250000000.0,False,234257
Meta,2024-08-07,424B2,0001193125-24-195428,Meta_2024-08-07_424B2_0001193125-24-195428.htm,True,,0,0.0,False,172746
Meta,2024-08-07,FWP,0001193125-24-196020,Meta_2024-08-07_FWP_0001193125-24-196020.htm,False,2024-08-07,5,10500000000.0,False,6164
Meta,2024-08-08,424B2,0001193125-24-197096,Meta_2024-08-08_424B2_0001193125-24-197096.htm,False,,5,10500000000.0,False,174688
Meta,2025-10-30,424B2,0001193125-25-257437,Meta_2025-10-30_424B2_0001193125-25-257437.htm,True,,0,0.0,False,174277
Meta,2025-10-30,FWP,0001193125-25-258837,Meta_2025-10-30_FWP_0001193125-25-258837.htm,False,2025-10-30,6,30000000000.0,False,6570
Meta,2025-11-03,424B2,0001193125-25-261217,Meta_2025-11-03_424B2_0001193125-25-261217.htm,False,,6,30000000000.0,False,176813
Meta,2026-04-30,424B2,0001193125-26-194082,Meta_2026-04-30_424B2_0001193125-26-194082.htm,True,,0,0.0,False,172676
Meta,2026-04-30,FWP,0001193125-26-197902,Meta_2026-04-30_FWP_0001193125-26-197902.htm,False,2026-04-30,6,25000000000.0,False,6667
Meta,2026-05-01,424B2,0001193125-26-201738,Meta_2026-05-01_424B2_0001193125-26-201738.htm,False,,6,25000000000.0,False,175281
Microsoft,2024-05-06,424B3,0001193125-24-131951,Microsoft_2024-05-06_424B3_0001193125-24-131951.htm,False,,10,6801366000.0,True,152043
Oracle,2024-09-25,424B2,0001193125-24-225244,Oracle_2024-09-25_424B2_0001193125-24-225244.htm,True,,0,0.0,False,183336
Oracle,2024-09-25,FWP,0001193125-24-226101,Oracle_2024-09-25_FWP_0001193125-24-226101.htm,False,2024-09-25,0,0.0,False,11731
Oracle,2024-09-26,424B2,0001193125-24-227049,Oracle_2024-09-26_424B2_0001193125-24-227049.htm,False,,4,6250000000.0,False,184583
Oracle,2025-01-30,424B2,0001193125-25-016274,Oracle_2025-01-30_424B2_0001193125-25-016274.htm,True,,0,0.0,False,227306
Oracle,2025-01-30,FWP,0001193125-25-017365,Oracle_2025-01-30_FWP_0001193125-25-017365.htm,False,2025-01-30,0,0.0,False,15706
Oracle,2025-01-31,424B2,0001193125-25-018491,Oracle_2025-01-31_424B2_0001193125-25-018491.htm,False,,6,7750000000.0,False,228987
Oracle,2025-09-24,424B2,0001193125-25-214032,Oracle_2025-09-24_424B2_0001193125-25-214032.htm,True,,0,0.0,False,223880
Oracle,2025-09-24,FWP,0001193125-25-215807,Oracle_2025-09-24_FWP_0001193125-25-215807.htm,False,2025-09-24,0,0.0,False,16732
Oracle,2025-09-25,424B2,0001193125-25-217490,Oracle_2025-09-25_424B2_0001193125-25-217490.htm,False,,6,18000000000.0,False,185002
Oracle,2026-02-02,424B2,0001193125-26-032739,Oracle_2026-02-02_424B2_0001193125-26-032739.htm,True,,0,0.0,True,232979
Oracle,2026-02-02,424B5,0001193125-26-032654,Oracle_2026-02-02_424B5_0001193125-26-032654.htm,True,,0,0.0,True,385145
Oracle,2026-02-02,424B5,0001193125-26-032756,Oracle_2026-02-02_424B5_0001193125-26-032756.htm,False,,0,0.0,True,144572
Oracle,2026-02-02,FWP,0001193125-26-032650,Oracle_2026-02-02_FWP_0001193125-26-032650.htm,False,,0,0.0,True,4203
Oracle,2026-02-02,FWP,0001193125-26-033882,Oracle_2026-02-02_FWP_0001193125-26-033882.htm,False,2026-02-02,0,0.0,False,22611
Oracle,2026-02-03,424B2,0001193125-26-035603,Oracle_2026-02-03_424B2_0001193125-26-035603.htm,False,,8,25000000000.0,True,237690
Oracle,2026-02-03,424B5,0001193125-26-035662,Oracle_2026-02-03_424B5_0001193125-26-035662.htm,False,,0,0.0,False,2685
Oracle,2026-02-03,FWP,0001193125-26-034351,Oracle_2026-02-03_FWP_0001193125-26-034351.htm,False,2026-02-03,0,0.0,True,17587
Oracle,2026-02-04,424B5,0001193125-26-037818,Oracle_2026-02-04_424B5_0001193125-26-037818.htm,False,,0,0.0,True,387252
Oracle,2026-06-23,424B5,0001193125-26-278585,Oracle_2026-06-23_424B5_0001193125-26-278585.htm,False,,0,0.0,False,3120
